title,publish_date,text_body,category
"Punjab govt highlights 2020 achievements
","January 2, 2021","LAHORE: The Punjab government highlights its achievements of 2020 and among them, the most prominent are making south Punjab secretariat functional, recruitment of doctors, launching the Ravi Riverfront Urban Development project and people’s assistance programme, constructing mother and child health hospitals, issuing health and medicine cards and other development programmes. 
The Punjab government says the year 2020 was fateful for south Punjab as senior officials were posted in the South Punjab secretariat along with approval of the design of the secretariat building. 
Up to 25,000 doctors and paramedics were recruited in the health department as well as recruitments of 10,000 police constables. 
The PTI Punjab government also laid foundation stone of the Ravi Riverfront Urban Development project in Aug and 10 new shelter homes were established in Lahore to provide shelter to homeless and penurious segments of society. 
The Punjab government says it offered financial aid worth Rs1.25 billion to 170,000 needy people under the chief minister’s Insaf Imdad Programme. The chief minister laid the foundation stone of mother & child hospital at Ganga Ram Hospital and local government academy and ensured completion of Lal Shehbaz Qalandar Underpass. 
Setting aside past practices, Chief Minister Usman Buzdar presided over the board meetings of Rescue 1122 and other important institutions to take critical decisions for providing better services to the citizens. Meanwhile, the chief minister regularly held meetings with parliamentarians and consulted them for spearheading development agenda. He also chaired the apex committee meetings to monitor the corona as well as law and order situation. 
The much-awaited Orange Line Metro Train was inaugurated in the month of October. Bab-e-Lahore was also inaugurated at Thokar Niaz Beg and the Insaf medicine card scheme was launched to provide free medicines to needy patients suffering from chronic diseases. Along with it, different development projects amounting to Rs140 billion were started in collaboration with the ADB in Sialkot and Sahiwal districts to improve the quality of life.     
A Punjab government spokesman says the chief minister was regularly visiting different cities and towns and issued on the spot instructions for bringing improvement in different government offices, including hospitals, police stations jails, and shelter homes. He also visited Balochistan, Sindh and Khyber Pakhtunkhwa to promote inter-provincial harmony.",Pakistan
"Babar Azam ruled out of Christchurch Test against New Zealand
","January 2, 2021","Pakistan captain Babar Azam has been ruled out of the second Test against New Zealand at the Hagley Oval in Christchurch starting Jan 3 due to slight pain in his thumb, the Pakistan Cricket Board said in a media release on Saturday.
Babar, 26, had participated in a training session on Friday but the team's management opted to not include him in the second Test after he reported slight pain in his thumb, to avoid any risk of further injury. Mohammad Rizwan has been appointed the captain in his place.
Babar was also similarly ruled out of the first Test due to a 
 and also had to sit out the three-match Twenty20 International series.
“We have seen improvement in Babar Azam's injury but he is yet to fully recover. He is our captain and the most important batsman in the lineup, so we do not want to take any risk,"" said Dr Sohail Saleem, the appointed doctor for the Pakistan cricket team. 
He said that the medical team will continue to monitor Babar's injury and is ""constantly reviewing"" it. Saleem said he is optimistic that the Pakistan captain will be available for the home series against 
.
Similarly, the pressure is also on for the New Zealand cricket team. There is a lot at stake for New Zealand in the second Test where they need to win to have a chance of making the World Test Championship final at Lords in June.
New Zealand are vying with Australia, India and England to make the final two. A draw or better will confirm New Zealand as number one in the world rankings, extend their unbeaten home record to 17 Tests and a win will see New Zealand win six consecutive Tests for the first time.
Pakistan squad for the second Test against New Zealand: 
Mohammad Rizwan (captain), Abid Ali, Azhar Ali, Faheem Ashraf, Fawad Alam, Haris Sohail, Imran Butt, Mohammad Abbas, Naseem Shah, Sarfaraz Ahmed, Shaheen Shah Afridi, Shan Masood, Sohail Khan, Yasir Shah and Zafar Gohar ",Sport
"China to provide $100m grant for road project
","January 1, 2021","			
 
An agreement to this effect was signed here on Thursday during a meeting between Chinese Ambassador Nong Rong and federal Minister for Economic Affairs Makhdum Khusro Bakhtyar.  Bilateral economic relations and China-Pakistan Economic Corridor projects were discussed during the meeting. 
The ‘Letter of Exchange’ provides for the rehabilitation of 66km four sections of the highway between Hala in Matiari district and Moro in Naushahro Feroze district Speaking on the occasion, Ambassador Rong said that N5 was an important road that extended from the southern part of the country to the north-western border in Pakistan and carried a large amount of traffic. Unfortunately, this road was seriously damaged by the flood in 2010. 
At the request of the Pakistani government, the Chinese government helped repair parts of N5 and N55 during 2011 and 2016. With joint efforts by the Pakistani and Chinese workers, the rehabilitation work was completed at the end of 2016, and it greatly improved the road conditions of the relevant sections. 
Considering the importance of the N5 highway, the Chinese government agreed to rehabilitate the remaining 66km of the road with Chinese grant in accordance with the previous bilateral agreement. 
Ambassador Rong said that rehabilitation of the N5 highway was the largest road project funded by the Chinese grant in recent years in Pakistan. The implementation of the project will further increase traffic capacity and facilitate people’s travel along the route. 
The construction of the project will also create considerable employment and promote related building material and transportation sectors along the route.  
The diplomat said the Chinese embassy would work closely with the economic affairs division and other relevant departments to ensure that the project started at the earliest. 
Mr Bakhtyar lauded the grant assistance extended by the Chinese government for various infrastructure and socio-economic projects in Pakistan. He also appreciated the significant work of joint working groups on socio-economic development and transport infrastructure under the CPEC. 
He highlighted that the socio-economic projects agreed therein were in line with the vision of the Pakistan Tehreek-i-Insaf government for socio-economic uplift of the people and enhanced economic activities in the country.  
Both sides also discussed the progress of ongoing projects financed by the government of China.",Newspaper
"Seven projects under way to promote tourism in coastal areas
","January 1, 2021","QUETTA: The Baloch­is­tan government has laun­ch­ed seven projects to promote tourism in coastal areas of the province and work on these projects is in progress. 
The projects will attract not only tourists but also investors interested in investing in the coastal areas of the province. 
This was said in a briefing at a meeting held here on Thursday to discuss promotion of tourism, culture and archeology and development schemes launched at tourist sites in various areas of Balochistan.  
The meeting was presi­ded over by Chief Minister Jam Kamal Khan Alyani and attended by Adviser to the CM on tourism and culture Abdul Khaliq Hazara, Chief Secretary of Baloch­istan Capt (retd) Fazeel Asghar, Additional Chief Secretary Planning and Development Abdul Saboor Kakar and the secretary of culture and tourism. 
The meeting was infor­med that a master plan had been prepared for promotion of tourism and culture and work on eco-tourism resorts was under way at seven places in the coastal areas of the province.  
The participants were briefed about feasibility and construction of cultural complexes in different areas of the province at a cost of Rs50 million. 
“Model beach parks will be established at Gadani, Kund Malir, Ormara, Pasni and Gwadar to provide maximum facilities to tourists,” the tourism secretary told the meeting, adding that the master plans for Ziarat and Shaban valleys had also been prepared.  
Chief Minister Alyani said that tourism offices should be set up at divisional levels, tourism information centers should be opened on major highways and signs on tourist spots and culture should be installed on the highways.  
He said that competitions in various fields of art should be organised across Balochistan. 
Referring to the importance of archeological sites in the province, the chief minister said that concrete steps should be taken by the departments concerned for their protection and discovering more such sites.  
He pointed out that Balochistan already had Mehrgarh archeological site which belonged to a seven thousand years old civilization.  
He said that promotion of tourism, arts and culture would highlight the positive image of Balochistan.",Pakistan
"FBR misses first half target by Rs16bn
","January 1, 2021","ISLAMABAD: The Federal Board of Revenue (FBR) collection in the first half (July-December) of the current fiscal year stood at Rs2.194 trillion, missing the projected Rs2.21tr target by Rs16 billion, provisional data showed on Thursday.
However, revenue collections were increased by five per cent year-on-year when compared to Rs2.092tr during the same period last year. 
For achieving the annual target, the FBR will have to collect Rs2.769tr during the second half (January-June) of 2020-21.
On a monthly basis, the FBR collected Rs504bn in December as against the projected target of Rs541bn, showing a shortfall of Rs37bn. However, it grew by 7pc when compared to Rs469bn collections during the same month last year.
The growth in December is usually higher owing to the corporate income tax payments.
Special Assistant to Prime Minister on Revenue Dr Waqar Masood Khan told Dawn that he was expecting Rs10bn more in next few days which will add to the December collections. He said that the FBR is close to the target keeping in view the prevailing situation. The revenue collection is the reflection of the economic growth in the country.
“We are still confronting the Covid-19 impacts”, he added.
Dr Masood further said that he was expecting higher growth in revenue collection in the second half especially March onwards. He said the target was set on the assumption that there will be no Covid-19. Despite the pandemic, he argued the collections have registered growth.
He said that there will be no revision in the annual target. “We are working on that thing; not to revise the target”, he said while adding the FBR will be very close to the target by the end of fiscal year. As the economy accelerates, there will be better results, he said.
But contrary to this, it is also believed that slower performance in the FBR is also due to lack of government interest in running affairs of the tax machinery on an ad-hoc basis. The much-talked about tax reforms and controlling corruption in the FBR were mere claims as the government has not taken any action to overhaul the workings of the board.
Before coming into power, the ruling party had vowed to introduce tax reforms and raise tax from elites but has failed to make any changes and remains focused on indirect taxes similar to the tactics used by previous governments.
Despite the introduction of several measures, the realisation of income tax is much below expectations. The income tax collection during the July-December period stood at Rs823bn as against the target of Rs905bn, showing a shortfall of Rs82bn.
The income tax collection showed a growth of 4pc when compared with collection of Rs794bn during the same months last year.
Meanwhile, the sales tax collection jumped 13pc to Rs1.013trn in the first half of  the current fiscal year from Rs892bn in the same period last year. However, the target was projected at Rs869bn, much lower than last year’s collections. The growth came as a result of rise in fuel prices, increase in imports and revival of economic activities during the period under review.
The federal excise duty (FED) collections were up 1pc to Rs127bn as against Rs126bn last year. The FED target for July-December was set at Rs149bn, which was missed by Rs22bn.
Moreover, customs collection recorded no growth as it stood at Rs334bn during the July-December period. The target projected under customs was Rs288bn, which was surpassed. The customs duty in December saw a growth of 8pc over last year and also surpassed the projected target.
The payment of Rs102bn refunds in the first half of this fiscal year — an increase of 90pc over last year’s payment of Rs54bn — suggested a sharp acceleration in economic activity leading to revival of industrial production.
The government, while preparing the budget for the ongoing fiscal year, had assured the International Monetary Fund to raise Rs4.963tr in FY21 against Rs3.989tr collected in FY20 — a projected increase of 24.4pc.",Newspaper
"Airbus-Boeing spat hits new heights at year end
","January 1, 2021","WASHINGTON: A long-running US-EU aircraft trade dispute flew to new heights as the year drew to a close, as Washington hit France and Germany with new punitive import tariffs.
It was the latest retaliation in the 16-year-old conflict over government subsidies for competing aircraft manufacturers Airbus and Boeing, and defies recent statements that the sides were close to reaching a final truce.
The US Trade Representative (USTR)late Wednesday announced new tariffs on aircraft parts, wine, cognac and brandies from France and Germany, adding those to a long list of products from EU countries that have been subject to 25 percent duties since 2019.
The USTR said the move was in retaliation for tariffs the European Union imposed in November which it considers unjustified and calculated unfairly.
The latest twist in the battle over aircraft subsidies that turned increasingly sour under the protectionist instincts of US President Donald Trump comes despite hopes for a trade truce once President-elect Joe Biden takes office January 20.
The World Trade Organization (WTO) has given the go ahead for Brussels and Washington to impose the retaliatory duties in separate but related cases over subsidies granted to Boeing and Airbus.
After a WTO ruling in October, the EU last month levied additional customs duties on $4 billion worth of American products including Boeing planes but also farm produce, such as wheat and tobacco, plus strong alcohol and chocolate.
But Washington said the EU calculated the amount using pandemic-ravaged trade data, which meant a much wider array of American goods were targeted.
“In implementing its tariffs... the EU used trade data from a period in which trade volumes had been drastically reduced due to the horrific effects on the global economy from the Covid-19 virus,” the USTR said.
“The result of this choice was that Europe imposed tariffs on substantially more products than would have been covered if it had utilised a normal period.” As a result the US  “is forced to change its reference period to the same period used by the European Union,” the statement said.
At the time the tariffs were announced, USTR complained the move was unjustified since the subsidies provided to Boeing by the state of Washington had long since been revoked, but did not raise the calculation issue in the public statement.
But the statement Wednesday said  “the United States explained to the EU the distortive effect of its selected time period, the EU refused to change its approach.” However, USTR said that  “in order to not escalate the situation, the United States is adjusting the product coverage by less than the full amount that would be justified utilizing the EU’s chosen time period.” The US also deplored an EU decision to exclude the UK from its calculations, which it argued unfairly increased the tariffs.
As usual in the trans-Atlantic dispute, each side blames the other for the escalation.
Hope for a truce Brussels complained on Thursday that Washington had  “unilaterally” disrupted ongoing talks and said it would seek a solution to the row with the incoming administration, which takes office on January 20.
The European Commission said it “regrets that the United States has chosen to add further EU products to its retaliation list in the WTO Airbus case on aircraft subsidies.”  
“The EU will engage with the new US Administration at the earliest possible moment to continue these negotiations and find a lasting solution to the dispute,” it said.
The feud over European aircraft manufacturer Airbus and its American competitor Boeing is the longest and most complicated ever handled by the WTO.
The aviation feud predates Trump, but Washington quickly embraced the opportunity to impose tariffs on in European goods after the WTO last year authorized duties on a record $7.5 billion in goods.
Washington imposed punitive tariffs of 25 percent on iconic EU products such as wine, cheese and olive oil and put a 15 percent tariff on Airbus planes in March.",Newspaper
"‘Most prolific’ serial killer in US history dies
","January 1, 2021","LOS ANGELES: The man authorities say was the most prolific serial killer in US history, with nearly 60 confirmed victims, died on Wednesday in California. He was 80.
Samuel Little, who had diabetes, heart trouble and other ailments, died at a California hospital, according to the state Department of Corrections and Rehabilitation. He was serving a life sentence for multiple counts of murder.
California corrections department spokeswoman Vicky Waters said there was no sign of foul play, and his cause of death will be determined by a coroner.
A career criminal who had been in and out jail for decades, Little denied for years hed ever killed anyone.
Then, in 2018, he opened up to Texas Ranger James Holland, who had been asked to question him about a killing it turned out Little did not commit. During approximately 700 hours of interviews, however, Little provided details of scores of slayings only the killer would know.
A skilled artist, he even provided Holland with dozens of paintings and drawings of his victims, sometimes scribbling their names when he could remember them, as well as details such as the year and location of the murder and where hed dumped the body.
By the time of his death, Little had confessed to killing 93 people between 1970 and 2005. Most of the slayings took place in Florida and Southern California.
Authorities, who continue to investigate his claims, said they have confirmed nearly 60 killings and have no reason to doubt the others.
“Nothing hes ever said has been proven to be wrong or false,” Holland told the CBS news magazine 60 Minutes in 2019.
The numbers dwarf those of Green River killer Gary Ridgway (49), John Wayne Gacy (33) and Ted Bundy (36).
Almost all of Little’s victims were women, many of them prostitutes, drug addicts or poor people living on the edges of society. They were individuals, he said he believed, who would leave few people behind to look for them and not much evidence for police to follow.
Indeed, local authorities in states across the country initially classified many of the deaths as accidents, drug overdoses or the result of unknown causes.",Newspaper
"Independent group wins major PBC seats
","January 1, 2021","LAHORE: The Independent Group, famously known as late Asma Jahangir Group, notched majority seats in the 23-member house of Pakistan Bar Council (PBC) in an election held on Thursday for next five-year term 2020-25.
Out of 11 seats of Punjab, the group won nine while remaining two seats were secured by the Hamid Khan-led Professional Group.
As per unofficial result, the successful candidates are Muhammad Ahsan Bhoon, who also heads the Independent group, Azam Nazir Tarar, Abid Saqi, Tahir Nasarullah Warraich, Pir Masood Chishti, Hafeezur Rehman Chaudhry, Hassan Raza Pasha, Mirza Aziz Akbar Baig and Syed Kalb-i-Hassan.
The Professional group’s winners from Punjab are Chaudhry Ishtiaq A. Khan and Shafqat Mahmood Chohan.
The Independent group also claimed to have won four out of six seats of Sindh, three out of four of Khyber Pakhtunkhwa.
Attorney General of Pakistan Khalid Jawed Khan, who conducted the election as returning officer, would announce the official result on Jan 5 in Islamabad.
The respective advocate generals for the provinces administered the polling process wherein members of the provincial bar councils took part.
OBITUARY: Former president of Supreme Court Bar Association and senior political figure of the legal fraternity, Mian Israrul Haq, passed away on Thursday.
A large number of lawyers attended his funeral prayer offered at 10pm in Baghbanpura. He was also a candidate in the election of the PBC.
Mr Haq was also twice elected president of Lahore High Court Bar Association and member of the PBC.",Pakistan
"December inflation eases to 8pc
","January 1, 2021","Inflation eased to eight per cent in December, from 8.3pc last month, on the back of a slight decrease in the prices of perishable food items and the transport index, the latest data released by the Pakistan Bureau of Statistics (PBS) showed.
Higher food prices continued to increase upward pressure on inflation as prices of non-perishable items jumped 16.3pc year-on-year during the month under review. 
In addition to the food sector, consumers witnessed a 9.9pc increase in restaurant and hotel prices, 9.6pc in clothing and 8.1pc in health.
On the other hand, the prices of perishable food items declined by 0.6pc, whereas those of the transport sector fell 3.5pc, helping bring down overall inflation.
During the month under review, data showed that the Consumer Price Index (CPI) inflation rate in urban areas rose 7pc year-on-year while the rate jumped 9.5pc in rural areas.
On a month-on-month basis, inflation during the month declined by 0.7pc — the first decline in eight months. This was likely on account of seasonal declines in the price of perishable items.
On a cumulative basis, average inflation during the July-December period was 8.63pc compared to 11.11pc during the same period last year. During the six-month period, inflation in urban areas averaged at 7.31pc compared to 10.63pc in rural areas.
The country’s central bank has ignored high inflation figures and kept interest rates in the negative territory in order to support growth and boost economic momentum. 
With relatively unchanged core inflation at 5.6pc (month-on-month) in December, the State Bank of Pakistan will likely continue with the accommodative monetary policy stance.  
Analysts say an economic recovery will likely take precedence over inflationary pressures, particularly in light of the second Covid-19 wave; the central bank may have room to push the eventual monetary tightening as far back as May 2021 or even July 2021.",Business
"PDM has died its own death, says Imran
","January 5, 2021"," 
ISLAMABAD: A day after the Bahawalpur rally of the opposition’s Pakistan Democratic Movement (PDM), Prime Minister Imran Khan’s team of spokespersons adopted an aggressive stance on Monday, following the premier’s line that the movement was all but over.
Before heading to various TV channels to participate in talk shows, the spokespersons attended a brainstorming session at PM House which was presided over by Prime Minister Khan.
During the session, Mr Khan said that the PDM was no more a threat to the government.
Talking to 
, a participant of the meeting, who did not want to be named, quoted the prime minister as saying: “The PDM has almost lost and died its own death, so it is no more a threat to the government.”
He directed his spokespersons to give a “tough time” to the opposition in the media, which could be seen when the spokespersons took on the opposition leaders on front foot.
The prime minister reiterated that the opposition had come on the streets to seek National Reconciliation Ordinance (NRO)-like concessions for its leaders, who had plundered national wealth and were now facing corruption references.
“PDM’s entire movement is aimed at getting an NRO, but I will not give them any relief,” he said.
The team of spokespersons consists of those Pakistan Tehreek-i-Insaf (PTI) leaders who are often seen on TV screens, promoting the government’s point of view and the prime minister’s narrative on different issues.
They include Information Minister Shibli Faraz, Minister for Science and Technology Fawad Chaudhry, Minister for Planning and Development Asad Umar, Education Minister Shafqat Mehmood, Minister for Industries Hammad Azhar, Special Assistant to Prime Minister on Youth Affairs Usman Dar, Senator Faisal Javed, Minister for Communication Murad Saeed, Nadeem Afzal Gondal, Special Assistant to the Prime Minister on Information Rauf Hassan, Special Assistant Shahbaz Gill, Walid Iqbal, Kanwal Shauzab, Maleeka Bukhari, Minister of State for Climate Change Zartaj Gul, Minister of State for Parliamentary Affairs Ali Mohammad Khan and Sadaqat Abbasi.
The prime minister’s narrative-building mechanism begins with the meeting of spokespersons on a regular basis during which Mr Khan gives them a guideline on how to counter the opposition on media.
According to a senior party leader, the prime minister personally gives various spokespersons feedback on their performance through WhatsApp.
During one such meeting on Monday – a day after the PDM public rally in Bahawalpur – the prime minister said that cracks had appeared in the opposition’s movement as some major parties had decided not to tender resignations and were adamant on contesting the forthcoming Senate elections.
Another participant of the meeting said the prime minister directed his team to vigorously present the government’s achievements in media so that people would know what the government had done during its over two-and-a-half years term, especially on the economic side.
The prime minister said in the new year, the government would focus on improving delivery of basic rights and facilities to the people.
One of the spokespersons, Kanwal Shouzab, said in a TV programme that the PM’s team consisted of “diehard” spokespersons.
“We are diehard spokespersons and not like the spokespersons of the opposition who have been slaves for generations,” she said.
Responding to a remark of another guest in the show, she said the PM’s spokespersons were usually seen on TV screens to present “the factual” position which was twisted by the opposition’s representatives.
“We do not want to humiliate the opposition but present the factual picture to the people,” she added.
Ms Shouzab said the PDM was serving the purpose of Indian media by criticising state institutions, especially the army.
Another participant said these meetings provided an opportunity to the spokespersons to get their policy line right from the top as well as avail the chance to ask questions, give suggestions and acquire a better understanding of the ‘hows’ and ‘whys’.
The prime minister also discussed the forthcoming Senate polls and hoped that the ruling PTI would get a majority in the Upper House.
He said the government was waiting for the verdict of the Supreme Court on holding of Senate elections through show of hands and not secret balloting.
“Once the Supreme Court gives us its guidelines, we will act accordingly and if required, make the necessary legislation,” PM Khan added.",Pakistan
"Overcautious CP set up fascinating finale after KP collapse
","January 5, 2021","KARACHI: Central Punjab’s defence of the Quaid-e-Azam Trophy is far from over after the reigning champions’ overcautious approach against Khyber Pakhtunkhwa on Monday set the stage for a thrilling finale to the decider here at the National Stadium.
The equation for both sides is quite simple — either Central Punjab score the remaining 216 runs to retain their crown or Khyber Pakhtunkhwa dethrone them by grabbing the final eight wickets of the domestic first-class season — on Tuesday’s last day of what has been an absorbing contest thus far with pendulum repeatedly swinging from one team to the other.
After bowling out Khyber Pakhtunkhwa for 312 in the morning session of the penultimate day, Central Punjab began their chase for the 356-run target — and plodded their way to 140-2 in 70 overs by close of play — with an ultra-defensive mindset.
Having struggled throughout the championship for a decent partnership upfront — their best being 92 against Southern Punjab at the UBL Sports Complex in late November — as Mohammad Akhlaq and Ali Zaryab ate up as many as 21.2 overs to score 35 for the first wicket in 97 minutes.
Spinner Sajid put the left-handed Ali (10 off 66 balls) out of his misery when the opener offered no shot to a delivery that straightened to trap plumb in front of the stumps. Ali’s opening partners Akhlaq — spent no less than 202 minutes over his 145-ball knock of 48 (six boundaries) after having deputized for regular wicket-keeper Ali Shan during Khyber Pakht­un­khwa’s second innings which lasted 431 minutes.
A lapse in concentration contributed to Akhlaq’s dismissal shortly after tea as the right-hander attempted to break free but only got succeeding in nicking paceman Arshad Iqbal to Israrullah who brought off a sharp catch at first slip.
Test discard Usman Salahuddin, who added 54 with Akhlaq, has been the driving force on the batting front for Central Punjab, and not for the first time in recent weeks, the right-handed passed the test with flying colours. By stumps Usman had reached his second half-century of the match — and eighth in the tournament — as crossed 900 first-class runs for the season before ending the day on 51 from 147 deliveries with just three fours during a stay of 194 minutes.
Usman’s partner Moha­mmad Saad scored a slightly better rate while making a 63-ball 27 in 89 minutes during their stand of 51 so far.
Earlier in the day, Khyber Pakhtunkhwa failed to put the match beyond Central Punjab’s reach as they lost their last five wickets for 58 runs after resuming at 243-5. Kamran Ghulam’s record-breaking season with the bat came to an abrupt halt when he slashed a sharp catch to substitute Tayyab Tahir at point after adding only four to his overnight 108. Kamran broke a 36-year-old record on Sunday when he surpassed Saadat Ali’s tally of 1,217 runs in a single Quaid-e-Azam Trophy, and when he was dismissed on Monday, he had amassed 1249 runs at 65.45 with five centuries and as many half-centuries. 
Captain Khalid Usman had the major share in the runs made by his side on day four as the 34-year-old all-rounder hit up 53 with his 73-ball innings featuring seven boun­daries until Qasim Akram held a good catch at deep square-leg off Central Punjab skipper Hasan Ali, who had bowled a total of 17 no-balls across both innings. Waqas Maqsood added two more wickets to finish with 4-77 and a match bag of 7-136 — the most for either side in this final.  
   
KHYBER PAKHTUNKHWA (1st Innings) 300 (Kamran Ghulam 76, Adil Amin 75, Israrullah 61, Zohaib Khan 30; Hasan Ali 4-62, Waqas Maqsood 3-59). 
CENTRAL PUNJAB (1st Innings) 257-9 declared (Usman Salahuddin 60, Qasim Akram 60 not out, Saad Nasim 55; Irfanullah Shah 4-73, Khalid Usman 3-32).
Fakhar Zaman c M. Saad b Waqas  4
Israrullah st Akhlaq b Qasim    63
Zohaib Khan c Akhlaq b Bilawal  5
Kamran Ghulam c sub b Bilawal   108
Adil Amin c Hasan b Waqas   34
Rehan Afridi run out    1
Khalid Usman c Qasim b Hasan    53
Sajid Khan c Usman b Waqas  8
Sameen Gul run out  5
Arshad Iqbal c sub b Waqas  2
Irfanullah Shah not out 3
EXTRAS (B-10, LB-7, W-1, NB-8)  26
TOTAL (all out, 93.5 overs) 312
FALL OF WKTS: 1-24, 2-33, 3-121, 4-204, 5-206, 6-254, 7-275, 8-303, 9-307
BOWLING: Waqas Maqsood 
23.5-7-77-4; Hasan Ali 21-4-67-1 (6nb); Bilawal Iqbal 22-7-57-2; Qasim Akram 9-0-40-1 (1w); Ahmed Safi Abdullah 16-5-43-0 (2nb); Mohammad Saad 2-0-11-0.
M. Akhlaq c Israrullah b Arshad     48 
Ali Zaryab lbw b Sajid  10
Usman Salahuddin not out    51
Mohammad Saad not out   27
Extras (b-2, lb-1, nb-1)    4
Total (for two wkts, 70 overs)  140
FALL OF WKTS: 1-35, 2-89.
BOWLING (to-date): Irfanullah Shah 12-5-20-0; Sameen Gul 11-3-30-0 (1nb); Sajid Khan 15-2-35-1; Khalid Usman 11-6-11-0; Arshad Iqbal 
17-5-33-1; Kamran Ghulam 3-1-6-0; Fakhar Zaman 1-0-2-0.",Newspaper
"Man arrested for molesting daughter in Kohat
","January 5, 2021","KOHAT: The police on Monday arrested a man for allegedly molesting his teenage daughter for four years and subjecting her to torture.
SHO Cantonment Amjid Hussain said the victim, 14, along with her mother came to the police station and got registered a case against her father, Sultan Mehmood.
The victim recalled that once when she was 10 years old and her mother had taken her little sister to hospital, her father started using bad language and asked her to remove clothes. 
“He threatened to sell me if I disclosed the matter to anybody,” the girl told the police.
Afterwards, her father repeatedly molested her, the victim said, adding she decided to disclose the matter to her mother when her father started beating her up badly.
The SHO said the victim had been sent to the KDA Teaching Hospital to get her medically examined.",Pakistan
"Commission suggests opening of four temples for tourism
","January 5, 2021","ISLAMABAD: The Shoaib Suddle commission in its report placed before the Supreme Court on the vandalising and burning of a century-old Samadhi (shrine) of a Hindu saint in Teri, Khyber Pakhtunkhwa, has recommended the opening of four Hindu temples for international tourism.
The one-man commission report, which was placed before the apex court on Monday, a day ahead of the scheduled hearing on the burning of the Hindu temple in Teri, recommended that the four sites — Param Hans Ji Maharaj Samadhi/Mandir in Teri town of KP’s district Karak; Hinglaj Mata Mandir in Hingol National Park of Balochistan’s district Lasbela; Katas Raj complex in Punjab’s district Chakwal and Parhlad Bhagat Mandir in Punjab’s district Multan — should be provided with fool-proof security and befitting lodging and boarding arrangements similar to Sri Darbar Sahib Gurdwara in Kartarpur town of Punjab’s district Narowal.
The report highlighted that the devastating action by miscreants on Dec 30 in the presence of police not only hurt the sentiments of the Hindu community in particular and the minority communities in general, but also brought shame to Pakistan by tarnishing the country’s image at the international level.
Built before 1920, the temple in Teri was attacked by a large mob after local elders of a religious party in their fiery speeches at a protest demonstration demanded the removal of the temple.
Taking notice of the incident, Chief Justice of Pakistan Gulzar Ahmed ordered KP’s chief secretary and the police chief as well as Dr Suddle to visit the site and submit a comprehensive report before the court by Jan 4.
The case will be taken up for hearing on Jan 5.
Dr Suddle, in his report, highlighted that the mob had also looted the available valuables from the temple after setting the site on fire but the station house officer and deputy superintendent of police concerned apparently did not take any action to control the situation.
The DSP offered the explanation that had he ordered the use of force, the situation would have gone totally out of control resulting in huge casualties and loss of life. Both the police officers were suspended by the police chief pending a thorough probe into the incident.
The report expressed the need of proper and thorough investigations at the earliest after gathering available evidence, including forensic evidence and call records. It suggested an in-depth investigation by the provincial government and police chief.
Moreover, Maulvi Mohammad Sharif, the principal instigator of the demolition of the temple, the report recommended, must be thoroughly interrogated to unearth any conspiracy and planning behind the gory incident. The real motive for the attack needed to be laid bare for future, it said.
The miscreants who vandalised the temple deserved exemplary punishment to create strong deterrence in future, the report suggested, while regretting the handling of the incident by police.
The Evacuee Trust Property Board (ETPB), in coordination with the KP government, must also take immediate measures for repossessing any illegally occupied land that belongs to the mandir as well as any other evacuee property in the country, the report said, adding the actual area of the Shri Param Hans Ji Maharaj at the time of partition should also be determined, keeping in view any tampering with the revenue or other records.
There should be a proper administrative set-up of the mandir, the report emphasised, adding that the home department must ban entry of suspected miscreants in the temple area.
The report also highlighted that the well situated within the precincts of the temple, as well as the orchard, has dried up because of lack of maintenance. The well used to fulfil the water requirements of not only the mandir but also the local inhabitants of Teri, thus rendering the water as sacred for the Hindu community.
It highlighted that the well and the historic orchard where Param Hans Ji Mahaaraj used to sit along with his Hindu disciples and Muslims of the area alike, needs to be properly rehabilitated.
The report said the Hindu community in the Teri area sho­uld enjoy all the rights as guaranteed to them by the Consti­tution without any restrictions.
It mentioned that during the meetings of the commission with the KP chief secretary, IG Police, Home Secretary, Kohat Commissioner, Kohat regional police officer, Karak deputy commissioner and Karak district police officer, the issue of visible improvement in the treatment of the minorities and its impact on Financial Action Task Force (FATF) and forums such as the United States Commission on International Religious Freedoms and the UN Office of High Commission on Human Rights was also discussed at length.
The report said the incident highlighted that more sensitization of people across Pakistan on these critical issues was required.",Pakistan
